DATE,new_private_house
1987-01-01,1862.0
1987-02-01,1771.0
1987-03-01,1694.0
1987-04-01,1735.0
1987-05-01,1713.0
1987-06-01,1635.0
1987-07-01,1685.0
1987-08-01,1624.0
1987-09-01,1587.0
1987-10-01,1577.0
1987-11-01,1578.0
1987-12-01,1632.0
1988-01-01,1554.0
1988-02-01,1450.0
1988-03-01,1600.0
1988-04-01,1615.0
1988-05-01,1483.0
1988-06-01,1512.0
1988-07-01,1527.0
1988-08-01,1551.0
1988-09-01,1531.0
1988-10-01,1529.0
1988-11-01,1407.0
1988-12-01,1547.0
1989-01-01,1561.0
1989-02-01,1597.0
1989-03-01,1442.0
1989-04-01,1542.0
1989-05-01,1449.0
1989-06-01,1346.0
1989-07-01,1386.0
1989-08-01,1429.0
1989-09-01,1338.0
1989-10-01,1333.0
1989-11-01,1475.0
1989-12-01,1304.0
1990-01-01,1508.0
1990-02-01,1352.0
1990-03-01,1345.0
1990-04-01,1332.0
1990-05-01,1351.0
1990-06-01,1263.0
1990-07-01,1295.0
1990-08-01,1307.0
1990-09-01,1312.0
1990-10-01,1282.0
1990-11-01,1248.0
1990-12-01,1173.0
1991-01-01,1149.0
1991-02-01,1090.0
1991-03-01,1176.0
1991-04-01,1093.0
1991-05-01,1070.0
1991-06-01,1093.0
1991-07-01,1076.0
1991-08-01,1050.0
1991-09-01,1216.0
1991-10-01,1076.0
1991-11-01,1013.0
1991-12-01,1002.0
1992-01-01,1061.0
1992-02-01,1098.0
1992-03-01,1128.0
1992-04-01,1083.0
1992-05-01,1187.0
1992-06-01,1189.0
1992-07-01,1251.0
1992-08-01,1140.0
1992-09-01,1123.0
1992-10-01,1139.0
1992-11-01,1224.0
1992-12-01,1199.0
1993-01-01,1135.0
1993-02-01,1236.0
1993-03-01,1105.0
1993-04-01,1216.0
1993-05-01,1111.0
1993-06-01,1193.0
1993-07-01,1090.0
1993-08-01,1264.0
1993-09-01,1172.0
1993-10-01,1246.0
1993-11-01,1235.0
1993-12-01,1289.0
1994-01-01,1228.0
1994-02-01,1353.0
1994-03-01,1257.0
1994-04-01,1374.0
1994-05-01,1430.0
1994-06-01,1336.0
1994-07-01,1281.0
1994-08-01,1348.0
1994-09-01,1414.0
1994-10-01,1378.0
1994-11-01,1365.0
1994-12-01,1386.0
1995-01-01,1423.0
1995-02-01,1294.0
1995-03-01,1413.0
1995-04-01,1342.0
1995-05-01,1326.0
1995-06-01,1242.0
1995-07-01,1352.0
1995-08-01,1265.0
1995-09-01,1279.0
1995-10-01,1335.0
1995-11-01,1360.0
1995-12-01,1200.0
1996-01-01,1402.0
1996-02-01,1317.0
1996-03-01,1369.0
1996-04-01,1327.0
1996-05-01,1423.0
1996-06-01,1437.0
1996-07-01,1453.0
1996-08-01,1468.0
1996-09-01,1379.0
1996-10-01,1392.0
1996-11-01,1413.0
1996-12-01,1487.0
1997-01-01,1377.0
1997-02-01,1545.0
1997-03-01,1445.0
1997-04-01,1438.0
1997-05-01,1400.0
1997-06-01,1315.0
1997-07-01,1313.0
1997-08-01,1332.0
1997-09-01,1442.0
1997-10-01,1396.0
1997-11-01,1420.0
1997-12-01,1428.0
1998-01-01,1316.0
1998-02-01,1441.0
1998-03-01,1477.0
1998-04-01,1498.0
1998-05-01,1465.0
1998-06-01,1467.0
1998-07-01,1552.0
1998-08-01,1521.0
1998-09-01,1452.0
1998-10-01,1452.0
1998-11-01,1604.0
1998-12-01,1433.0
1999-01-01,1599.0
1999-02-01,1459.0
1999-03-01,1673.0
1999-04-01,1580.0
1999-05-01,1623.0
1999-06-01,1648.0
1999-07-01,1597.0
1999-08-01,1563.0
1999-09-01,1643.0
1999-10-01,1593.0
1999-11-01,1596.0
1999-12-01,1659.0
2000-01-01,1574.0
2000-02-01,1677.0
2000-03-01,1704.0
2000-04-01,1610.0
2000-05-01,1682.0
2000-06-01,1530.0
2000-07-01,1495.0
2000-08-01,1573.0
2000-09-01,1528.0
2000-10-01,1513.0
2000-11-01,1539.0
2000-12-01,1521.0
2001-01-01,1456.0
2001-02-01,1536.0
2001-03-01,1470.0
2001-04-01,1574.0
2001-05-01,1497.0
2001-06-01,1654.0
2001-07-01,1582.0
2001-08-01,1615.0
2001-09-01,1551.0
2001-10-01,1599.0
2001-11-01,1555.0
2001-12-01,1693.0
2002-01-01,1632.0
2002-02-01,1671.0
2002-03-01,1559.0
2002-04-01,1625.0
2002-05-01,1705.0
2002-06-01,1589.0
2002-07-01,1615.0
2002-08-01,1722.0
2002-09-01,1641.0
2002-10-01,1601.0
2002-11-01,1718.0
2002-12-01,1671.0
2003-01-01,1654.0
2003-02-01,1688.0
2003-03-01,1638.0
2003-04-01,1662.0
2003-05-01,1733.0
2003-06-01,1641.0
2003-07-01,1680.0
2003-08-01,1570.0
2003-09-01,1719.0
2003-10-01,1728.0
2003-11-01,1692.0
2003-12-01,1716.0
2004-01-01,1709.0
2004-02-01,1718.0
2004-03-01,1794.0
2004-04-01,1938.0
2004-05-01,1893.0
2004-06-01,1857.0
2004-07-01,1881.0
2004-08-01,1911.0
2004-09-01,1796.0
2004-10-01,1839.0
2004-11-01,1758.0
2004-12-01,1921.0
2005-01-01,1892.0
2005-02-01,1908.0
2005-03-01,1787.0
2005-04-01,1927.0
2005-05-01,2103.0
2005-06-01,1965.0
2005-07-01,1886.0
2005-08-01,1952.0
2005-09-01,1922.0
2005-10-01,1962.0
2005-11-01,1907.0
2005-12-01,1941.0
2006-01-01,2036.0
2006-02-01,2048.0
2006-03-01,2245.0
2006-04-01,2071.0
2006-05-01,1897.0
2006-06-01,2050.0
2006-07-01,1934.0
2006-08-01,1877.0
2006-09-01,2011.0
2006-10-01,1918.0
2006-11-01,1893.0
2006-12-01,1888.0
2007-01-01,1822.0
2007-02-01,1640.0
2007-03-01,1623.0
2007-04-01,1539.0
2007-05-01,1536.0
2007-06-01,1481.0
2007-07-01,1534.0
2007-08-01,1512.0
2007-09-01,1356.0
2007-10-01,1405.0
2007-11-01,1390.0
2007-12-01,1328.0
2008-01-01,1331.0
2008-02-01,1274.0
2008-03-01,1195.0
2008-04-01,1022.0
2008-05-01,1142.0
2008-06-01,1142.0
2008-07-01,1087.0
2008-08-01,1017.0
2008-09-01,1160.0
2008-10-01,1055.0
2008-11-01,1076.0
2008-12-01,1021.0
2009-01-01,777.0
2009-02-01,819.0
2009-03-01,839.0
2009-04-01,846.0
2009-05-01,818.0
2009-06-01,797.0
2009-07-01,797.0
2009-08-01,792.0
2009-09-01,721.0
2009-10-01,746.0
2009-11-01,844.0
2009-12-01,750.0
2010-01-01,689.0
2010-02-01,670.0
2010-03-01,635.0
2010-04-01,737.0
2010-05-01,702.0
2010-06-01,894.0
2010-07-01,572.0
2010-08-01,592.0
2010-09-01,632.0
2010-10-01,605.0
2010-11-01,552.0
2010-12-01,565.0
2011-01-01,520.0
2011-02-01,615.0
2011-03-01,591.0
2011-04-01,549.0
2011-05-01,549.0
2011-06-01,579.0
2011-07-01,634.0
2011-08-01,614.0
2011-09-01,603.0
2011-10-01,566.0
2011-11-01,585.0
2011-12-01,610.0
2012-01-01,545.0
2012-02-01,561.0
2012-03-01,582.0
2012-04-01,671.0
2012-05-01,626.0
2012-06-01,625.0
2012-07-01,676.0
2012-08-01,684.0
2012-09-01,652.0
2012-10-01,730.0
2012-11-01,668.0
2012-12-01,677.0
2013-01-01,714.0
2013-02-01,729.0
2013-03-01,816.0
2013-04-01,712.0
2013-05-01,708.0
2013-06-01,736.0
2013-07-01,784.0
2013-08-01,765.0
2013-09-01,776.0
2013-10-01,801.0
2013-11-01,839.0
2013-12-01,778.0
2014-01-01,838.0
2014-02-01,876.0
2014-03-01,893.0
2014-04-01,834.0
2014-05-01,891.0
2014-06-01,800.0
2014-07-01,839.0
2014-08-01,908.0
2014-09-01,975.0
2014-10-01,920.0
2014-11-01,863.0
2014-12-01,955.0
2015-01-01,954.0
2015-02-01,863.0
2015-03-01,781.0
2015-04-01,1001.0
2015-05-01,1012.0
2015-06-01,962.0
2015-07-01,988.0
2015-08-01,974.0
2015-09-01,1040.0
2015-10-01,985.0
2015-11-01,1000.0
2015-12-01,1023.0
2016-01-01,1056.0
2016-02-01,1037.0
2016-03-01,1003.0
2016-04-01,945.0
2016-05-01,1000.0
2016-06-01,1109.0
2016-07-01,1072.0
2016-08-01,1054.0
2016-09-01,1035.0
2016-10-01,1070.0
2016-11-01,1244.0
2016-12-01,1101.0
2017-01-01,1081.0
2017-02-01,1148.0
2017-03-01,1147.0
2017-04-01,1069.0
2017-05-01,1170.0
2017-06-01,1236.0
2017-07-01,1173.0
2017-08-01,1107.0
2017-09-01,1113.0
2017-10-01,1196.0
2017-11-01,1182.0
2017-12-01,1200.0
2018-01-01,1208.0
2018-02-01,1288.0
2018-03-01,1181.0
2018-04-01,1224.0
2018-05-01,1262.0
2018-06-01,1212.0
2018-07-01,1150.0
2018-08-01,1262.0
2018-09-01,1187.0
2018-10-01,1122.0
2018-11-01,1131.0
2018-12-01,1053.0
2019-01-01,1258.0
2019-02-01,1334.0
2019-03-01,1301.0
2019-04-01,1329.0
2019-05-01,1226.0
2019-06-01,1169.0
2019-07-01,1219.0
2019-08-01,1294.0
2019-09-01,1150.0
2019-10-01,1294.0
2019-11-01,1244.0
2019-12-01,1310.0
2020-01-01,1302.0
2020-02-01,1271.0
2020-03-01,1247.0
2020-04-01,1207.0
2020-05-01,1171.0
2020-06-01,1244.0
2020-07-01,1314.0
2020-08-01,1238.0
2020-09-01,1446.0
2020-10-01,1370.0
2020-11-01,1240.0
2020-12-01,1386.0
2021-01-01,1344.0
2021-02-01,1322.0
2021-03-01,1459.0
2021-04-01,1438.0
2021-05-01,1337.0
2021-06-01,1298.0
2021-07-01,1361.0
2021-08-01,1312.0
2021-09-01,1232.0
2021-10-01,1259.0
2021-11-01,1389.0
2021-12-01,1337.0
2022-01-01,1256.0
2022-02-01,1371.0
2022-03-01,1356.0
2022-04-01,1361.0
2022-05-01,1446.0
2022-06-01,1392.0
2022-07-01,1396.0
2022-08-01,1355.0
2022-09-01,1438.0
2022-10-01,1348.0
2022-11-01,1543.0
2022-12-01,1390.0
2023-01-01,1377.0
2023-02-01,1577.0
2023-03-01,1528.0
2023-04-01,1416.0
2023-05-01,1534.0
2023-06-01,1492.0
2023-07-01,1334.0
